,,,,,,,,,
Theme: Households,,,,,,,,,
Subject: Household Expenditure,,,,,,,,,
Topic: Household Expenditure Survey ,,,,,,,,,
Table Title: Average Monthly Household Income (excluding Employer CPF) Among Resident Households by Income Quintile and Type of Dwelling (Household Expenditure Survey 2023),,,,,,,,,
,,,,,,,,,
Data last updated: 28/11/2024,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,
,,,,,,,,,
,,,,,,,,Dollar,
Income Quintile 1/,Total 2/,HDB Dwellings,,,,,Condominiums & Other Apartments,Landed Properties,
,,Total,1- & 2-Room Flats 3/,3-Room Flats,4-Room Flats,5-Room & Executive Flats,,,
Total,14383,10654,3461,7226,11231,14699,24277,39499,
1st - 20th Percentile,3190,3241,2342,2727,3759,4228,2348,3543,
21st - 40th Percentile,7399,7372,4079,6062,7892,8963,7388,8401,
41st - 60th Percentile,11586,11336,5122,8445,11724,13636,12838,14778,
61st - 80th Percentile,17001,15690,6729,11294,15271,18516,19369,26648,
81st - 100th Percentile,32738,22939,9071,16844,22250,26899,35291,60272,
,,,,,,,,,
,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,
Note: Income data exclude employer CPF contributions.,,,,,,,,,
1/ Based on ranking of all resident households by their monthly household income from all sources per household member (excluding employer CPF contributions). ,,,,,,,,,
"2/ Total includes other types of dwellings not shown, e.g. non-HDB shophouses.",,,,,,,,,
3/ 1- & 2-Room includes HDB studio apartments.,,,,,,,,,
,,,,,,,,,
Resident Households:,,,,,,,,,
"Refer to households where the household reference person is a Singapore citizen or permanent resident.
A household refers to (i) a group of two or more persons living together in the same house and sharing common food or other essential arrangements for living; or (ii) a person living alone or a person living with others but having his own food or other essential arrangements for living. Although persons may be living in the same house, they may not be members of the same household.",,,,,,,,,
,,,,,,,,,
Notation:,,,,,,,,,
na   not available or not applicable,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,
Notes,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,
,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,
Date generated: 05/12/2025,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,
