,,,,,
Theme: Households,,,,,
Subject: Household Income,,,,,
Topic: Average and Median Household Employment Income,,,,,
"Table Title: Average and Median Monthly Household Employment Income (Including Employer CPF Contributions) Among Resident and Resident Employed Households, 2000 - 2024 (Household Employment Income, Annual)",,,,,
,,,,,
Data last updated: 13/02/2025,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,
,,,,,
,,,,Dollar,
Year,Resident Households,,Resident Employed Households,,
,Average,Median1/,Average,Median1/,
2024,12547,9541,14542,11297,
2023,12178,9329,13958,10869,
2022,11480,8615,13124,10099,
2021,10832,8220,12276,9520,
2020,10608,7744,12235,9189,
2019,10750,7981,12386,9425,
2018,10664,7955,12137,9293,
2017,10610,7850,12027,9023,
2016,10336,7748,11589,8846,
2015,10394,7733,11510,8666,
2014,9982,7320,11143,8292,
2013,9481,7030,10469,7872,
2012,9394,6772,10348,7566,
2011,8722,6307,9618,7037,
2010,7812,5600,8726,6342,
2009,7410,5360,8195,6006,
2008,7691,5492,8414,6100,
2007,6790,4846,7431,5362,
2006,6181,4430,6792,4952,
2005,5934,4270,6593,4831,
2004,5666,4066,6285,4552,
2003,5670,4071,6276,4612,
2002,5667,4096,6229,4590,
2001,5972,4363,6417,4716,
2000,5436,4000,5947,4398,
,,,,,
,,,,,
Definitions and Footnotes:,,,,,
1/ Based on ranking of all resident households/ resident employed households by their monthly household employment income (including employer CPF contributions).,,,,,
,,,,,
Household Employment Income:,,,,,
"Refers to the sum of income received by employed members of the household from employment and business excluding the income of live-in domestic workers. Monthly household employment income includes one-twelfth of the annual bonus. Data on household employment income refer to household employment income before accounting for Government transfers and taxes, unless stated otherwise.",,,,,
Resident Employed Households:,,,,,
"Refers to households where the household reference person is a Singapore citizen or permanent resident and with at least one employed person. 
A household refers to (i) a group of two or more persons living together in the same house and sharing common food or other essential arrangements for living; or (ii) a person living alone or a person living with others but having his own food or other essential arrangements for living. Although persons may be living in the same house, they may not be members of the same household.",,,,,
Resident Households:,,,,,
"Refer to households where the household reference person is a Singapore citizen or permanent resident.
A household refers to (i) a group of two or more persons living together in the same house and sharing common food or other essential arrangements for living; or (ii) a person living alone or a person living with others but having his own food or other essential arrangements for living. Although persons may be living in the same house, they may not be members of the same household.",,,,,
,,,,,
Notation:,,,,,
na   not available or not applicable,,,,,
nec  not elsewhere classified,,,,,
nes  not elsewhere specified,,,,,
 -     nil or negligible or not significant,,,,,
Notes,,,,,
Numbers may not add up to the totals due to rounding.,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,
,,,,,
Generated by: SingStat Table Builder,,,,,
Date generated: 05/12/2025,,,,,
Contact: info@singstat.gov.sg,,,,,
